Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip_0	0.085610	1.712208	0.014794	0.000077	0.322489
specbzip_1	0.084146	1.682914	0.011743	0.000077	0.414964
specbzip_2	0.082480	1.649604	0.011742	0.000077	0.363010
specbzip_3	0.081244	1.624885	0.011739	0.000077	0.324116
specbzip_4	0.080860	1.617195	0.010945	0.000077	0.350311
specbzip_5	0.080550	1.610993	0.010268	0.000077	0.376199
specmcf_0	0.065187	1.303750	0.002108	0.023612	0.059346
specmcf_1	0.058010	1.160209	0.002108	0.000018	0.767534
specmcf_2	0.057780	1.155606	0.002108	0.000018	0.711878
specmcf_3	0.057760	1.155199	0.002108	0.000018	0.706414
specmcf_4	0.057752	1.155043	0.002108	0.000018	0.706527
specmcf_5	0.057752	1.155043	0.002108	0.000018	0.706527
spechmmer_0	0.059567	1.191346	0.002359	0.000221	0.054065
spechmmer_1	0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer_2	0.059309	1.186170	0.000701	0.000212	0.179990
spechmmer_3	0.059294	1.185883	0.000669	0.000210	0.191371
spechmmer_4	0.059271	1.185423	0.000550	0.000208	0.234873
spechmmer_5	0.059583	1.191663	0.001022	0.000184	0.254200
specsjeng_0	0.513528	10.270554	0.121831	0.000020	0.999972
specsjeng_1	0.513526	10.270520	0.121831	0.000020	0.999976
specsjeng_2	0.513276	10.265530	0.121831	0.000020	0.999976
specsjeng_3	0.513271	10.265417	0.121831	0.000020	0.999979
specsjeng_4	0.339735	6.794691	0.060918	0.000015	0.999952
speclibm_0	0.174671	3.493415	0.060972	0.000094	0.999944
speclibm_1	0.174671	3.493415	0.060972	0.000094	0.999944
speclibm_2	0.174482	3.489639	0.060972	0.000094	0.999944
speclibm_3	0.174482	3.489639	0.060972	0.000094	0.999945
speclibm_4	0.128833	2.576667	0.030487	0.000112	0.999800
